address,current_balance,balance_eth,tx_count,total_volume,volume_eth,net_flow,net_flow_eth,total_fees_eth,last_active,is_contract,wallet_type,profitability_score
0xfcF1cEcfe725D1a2248E3b224f58A72344Dd5a42,119280000000000,0.00011928,1,122618000000000,0.000122618,122618000000000,0.000122618,0.0,2025-03-17 15:37:34.953280,False,eoa,0.100109021
0xCb243d8635cAb39bd982854Ee6Bf96E058b2Fd61,77406000000000,7.7406e-05,1,35332077606811,3.5332077606811e-05,35332077606811,3.5332077606811e-05,0.0,2025-03-17 15:37:35.171782,False,eoa,0.10004862843880341
0x8ACe44879861E7b330C5200828901556568725a3,77382000000000,7.7382e-05,1,160000000000000,0.00016,160000000000000,0.00016,0.0,2025-03-17 15:37:35.406486,False,eoa,0.1001109528
0x4fd6f7bDA4d47E7576D0c98248957235ae484914,77382000000000,7.7382e-05,1,40720000000000,4.072e-05,40720000000000,4.072e-05,0.0,2025-03-17 15:37:35.618427,False,eoa,0.1000513128
0x1059559774C1EFc590500507D6da53b71eb23d47,119280000000000,0.00011928,1,200000000000000,0.0002,200000000000000,0.0002,0.0,2025-03-17 15:37:35.912875,False,eoa,0.100147712
0x0767cC2a0e9181CdD09761675Bb7B03c447F62B6,77382000000000,7.7382e-05,1,160000000000000,0.00016,160000000000000,0.00016,0.0,2025-03-17 15:37:36.133022,False,eoa,0.1001109528
0x8a9c42acCA460D20cA80eE7065F2fbE8AF55aeeA,77382000000000,7.7382e-05,1,160000000000000,0.00016,160000000000000,0.00016,0.0,2025-03-17 15:37:36.447989,False,eoa,0.1001109528
0x829A72e24454D39d39cCCC8887C87bED8268769a,77382000000000,7.7382e-05,1,160000000000000,0.00016,160000000000000,0.00016,0.0,2025-03-17 15:37:36.605750,False,eoa,0.1001109528
0x8a4E5e943945D095fdb46554E89ce8d7d4979C62,77382000000000,7.7382e-05,1,160000000000000,0.00016,160000000000000,0.00016,0.0,2025-03-17 15:37:36.969792,False,eoa,0.1001109528
0xccF7665d07170fb9a944e3843b2C394D565B9061,77382000000000,7.7382e-05,1,160000000000000,0.00016,160000000000000,0.00016,0.0,2025-03-17 15:37:37.151533,False,eoa,0.1001109528
0x5D642db014aA8649aaDA2F73b25a357EA3524da1,0,0.0,1,25787461614000000000,25.787461614,-25787461614000000000,-25.787461614,4.2e-05,2025-03-17 15:37:37.675846,False,eoa,7.8362384842
0xA023f08c70A23aBc7EdFc5B6b5E171d78dFc947e,180052955706102072721178,180052.95570610208,1,25787461614000000000,25.787461614,25787461614000000000,25.787461614,0.0,2025-03-17 15:37:38.122384,False,eoa,4012.993730807
0x0B37AFcF04B06DD3c9091E5a6A26A2760Eef41e8,0,0.0,1,309383010000000000,0.30938301,-309383010000000000,-0.30938301,4.2e-05,2025-03-17 15:37:38.645519,False,eoa,0.192814903
0xCFFAd3200574698b78f32232aa9D63eABD290703,60269761392888871518705,60269.761392888875,2,386679732983006100,0.3866797329830061,386679732983006100,0.3866797329830061,0.0,2025-03-17 15:39:00.980450,False,eoa,4000.3933398664913
0xE857DBb5129E3E6754cE47D6A2f9889061E5aC30,132947904027665982,0.132947904027666,1,0,0.0,0,0.0,0.000520326181462912,2025-03-17 15:37:39.060607,False,eoa,0.1531791616110664
0x147AC0b39675769E55a0F0e7fdd3641b47963661,39381937892407197448,39.381937892407194,1,831640000000000000,0.83164,-831640000000000000,-0.83164,0.00012551550912,2025-03-17 15:37:39.841411,False,eoa,16.102267156962878
0x8EbC93f001F83274531da918A443d90C135d0d38,1278748000000000000,1.278748,1,831640000000000000,0.83164,831640000000000000,0.83164,0.0,2025-03-17 15:37:40.300218,False,eoa,1.0273192000000002
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,32760767385828866566406,32760.767385828865,17,1076841946038049776,1.0768419460380498,964966806038049776,0.9649668060380497,0.000117879800871,2025-03-17 15:39:44.593834,False,eoa,4002.216045945019
0x48A3db1f5399cE3589423945493A08ae0506df12,0,0.0,2,41795320000000000,0.04179532,42000000000000,4.2e-05,4.2e-05,2025-03-17 15:39:00.980457,False,eoa,0.21254699600000002
0xaF5aecF2eAA276D036053934895e59EE860565a8,1266194559320451,0.001266194559320451,1,100000000000,1e-07,-100000000000,-1e-07,2.9286952128e-05,2025-03-17 15:37:41.791563,False,eoa,0.10050650782372819
